"REG","INC"
"afg",18416.377364
"alb",10945.534087
"are",326486.679916
"arg",643937.802685
"arm",9863.3459
"aus",1187951.137123
"aut",375499.844624
"aze",51095.529734
"bel",445865.69546
"ben",8905.114271
"bfa",10905.232887
"bgd",172077.232455
"bgr",48628.71231
"bhr",29034.551715
"blr",57694.929907
"bol",29842.02104
"bra",1859094.274486
"bwa",14085.212577
"caf",1622.788004
"can",1502807.167467
"che",674202.686731
"chl",234287.056201
"chn",9619595.689535
"civ",34713.992783
"cmr",27626.521374
"cod",32396.741613
"cog",11460.961919
"col",272783.187749
"com",911.279558
"cri",52590.433321
"cyp",19542.9033
"cze",174472.402053
"deu",3235411.218771
"dnk",291032.020777
"dom",62162.665253
"dza",154197.504279
"ecu",95571.238386
"egy",295808.968316
"esp",1135266.26313
"est",21808.537193
"eth",51824.473846
"fin",234026.39909
"fra",2388532.701126
"gab",13263.276706
"gbr",2797343.194479
"geo",13897.138804
"gha",47634.298922
"gin",8168.200486
"gnq",14436.200378
"grc",195061.283126
"gtm",57199.417424
"hkg",294047.536875
"hnd",19604.424966
"hrv",49097.2859
"hun",115846.025794
"idn",781691.320719
"ind",1850669.568257
"irl",214179.027627
"irn",403145.022077
"irq",158939.31149
"isr",281767.446164
"ita",1821803.553097
"jam",13971.695192
"jor",36414.839526
"jpn",4363702.302797
"kaz",174857.946891
"ken",62954.934291
"kgz",6180.302866
"khm",15749.669959
"kor",1381481.889127
"kwt",113342.512942
"lao",12466.285676
"lbn",48584.298663
"lka",73132.294148
"ltu",39210.088852
"lux",57213.96137
"lva",25743.813335
"mar",92705.225026
"mdg",10624.353146
"mex",1103073.863973
"mli",11300.560669
"mng",10637.672696
"moz",13916.496429
"mus",10883.539607
"mwi",6791.139679
"mys",270506.078808
"nam",10247.262313
"ner",8598.802656
"nga",453205.862954
"nic",11617.373509
"nld",740027.026167
"nor",371050.738865
"npl",21471.37566
"nzl",164455.779563
"omn",64432.945812
"pak",243585.281839
"pan",48691.900511
"per",179547.435494
"phl",270952.964846
"pol",443411.858337
"pri",105730.45008
"prt",194266.02036
"pry",33400.724749
"pse",13492.4
"qat",146581.616619
"rou",166618.906549
"rus",1380754.981611
"rwa",7377.031208
"sau",606316.950593
"sdn",75388.126497
"sen",16044.414306
"slv",22505.115621
"srb",39581.598732
"svk",81975.901249
"svn",41022.860185
"swe",470887.249503
"swz",3935.206044
"syr",22994.735305
"tcd",10742.518701
"tgo",4324.605314
"tha",385307.895216
"tjk",7068.048922
"tto",24963.632317
"tun",41483.692467
"tur",776389.702418
"tza",42861.34118
"uga",25415.602548
"ukr",107965.54567
"ury",53585.973174
"usa",17329817.258132
"uzb",71071.690457
"ven",382066.755224
"vnm",170915.14778
"xac",109811.709607
"xca",1613.429045
"xcb",96174.781181
"xea",74897.485771
"xec",12687.332942
"xee",7401.481592
"xef",22579.33137
"xer",28749.361564
"xnf",63798.103662
"xoc",24204.492648
"xsa",1776.213527
"xsc",2249.71926
"xse",57303.997174
"xsm",9384.380713
"xsu",33949.197231
"xwf",15364.25959
"xws",46938.117778
"zaf",307982.780917
"zmb",19358.000739
"zwe",19158.629023
