"REG","VCROP"
"afg",4171476367.7107
"alb",1424613752.26052
"are",535248854.191982
"arg",50152179900.4424
"arm",1571815220.3028
"aus",21148024189.9469
"aut",2788747993.79379
"aze",3013331408.71053
"bel",4277574817.66547
"ben",3592630349.73849
"bfa",2811581222.89885
"bgd",36392668962.4011
"bgr",4798809748.18178
"bhr",36137114.9725639
"blr",6167460055.37879
"bol",4295961261.98837
"bra",149688123640.399
"bwa",105532862.96239
"caf",838276323.143251
"can",39551601456.489
"che",1052150744.55594
"chl",9863655392.73861
"chn",792479776451.356
"civ",9899258590.79423
"cmr",10395995821.8044
"cod",13506706085.4765
"cog",629663199.909792
"col",16569325722.918
"com",128845539.267315
"cri",4176889211.06218
"cyp",225758484.445868
"cze",3749798778.22392
"deu",25662121627.3084
"dnk",3742615236.81993
"dom",3716557942.46062
"dza",11643056125.6365
"ecu",6543286452.02098
"egy",31278083522.7956
"esp",39931236702.8219
"est",461106925.064757
"eth",13810025550.5742
"fin",1461978842.28849
"fra",37992985965.1311
"gab",508975696.585446
"gbr",11419021962.9831
"geo",1011209414.75484
"gha",13731558565.3518
"gin",3522601947.32926
"gnq",124808419.738597
"grc",8391179103.45371
"gtm",7264216388.57073
"hkg",27264459.3199959
"hnd",2948546990.30618
"hrv",2236266410.33676
"hun",7106643304.88154
"idn",121009814200.746
"ind",329047220041.739
"irl",984554160.173709
"irn",37818843919.1862
"irq",6218193841.84553
"isr",2516436064.64406
"ita",32689318135.5176
"jam",611790350.385904
"jor",1513058287.28459
"jpn",16434804406.8084
"kaz",9831098627.64021
"ken",8688456903.45145
"kgz",1853276544.02791
"khm",7230126015.41645
"kor",11100053917.7167
"kwt",466135047.231399
"lao",4842400064.93529
"lbn",1578492495.40584
"lka",5634206643.82638
"ltu",1959369672.39977
"lux",77344272.1610813
"lva",975296283.66611
"mar",11697087116.0319
"mdg",4916051833.73207
"mex",37679104854.3265
"mli",5382064132.41465
"mng",253413827.472451
"moz",3528211778.73891
"mus",265593396.928328
"mwi",6237635959.29278
"mys",33113713725.4744
"nam",339492166.508412
"ner",4061738081.8844
"nga",55138390557.9139
"nic",1663816830.79834
"nld",6412061840.20522
"nor",471559316.454972
"npl",9084281563.83892
"nzl",2185876249.25438
"omn",803482324.681307
"pak",30493051537.2782
"pan",728239076.479712
"per",11522039729.3475
"phl",33695968529.2643
"pol",18895954502.8852
"pri",160927511.758691
"prt",3938585678.56255
"pry",7631499649.07655
"pse",640164837.439604
"qat",75413956.0694019
"rou",13411262814.5044
"rus",56221732799.2692
"rwa",3941428255.07774
"sau",3763427342.24623
"sdn",8205059806.09042
"sen",1592545342.61552
"slv",1190493038.10713
"srb",6512848027.71821
"svk",1550833099.95839
"svn",394737060.959698
"swe",2162316958.71915
"swz",450012157.231874
"syr",6009602853.01576
"tcd",2243052107.88284
"tgo",1323682302.92168
"tha",46709429551.9469
"tjk",2263441762.16124
"tto",67218742.1548337
"tun",5035174259.19084
"tur",52203469155.8842
"tza",14006389167.4318
"uga",8778567842.22789
"ukr",42836297265.9673
"ury",2990633789.94597
"usa",236925717184.531
"uzb",11869951032.6019
"ven",4924186669.93794
"vnm",45353235032.3063
"xac",6858282406.0865
"xca",252451182.396018
"xcb",6876210173.03414
"xea",6478747139.13831
"xec",4774562246.34158
"xee",2423535301.7132
"xef",4838425.79025338
"xer",3013694226.71467
"xnf",1578936079.45958
"xoc",4121921563.39731
"xsa",181741066.971094
"xsc",106501876.624882
"xse",27427092052.564
"xsm",872496613.684113
"xsu",1452132988.66157
"xwf",3471774023.33067
"xws",1727604459.31518
"zaf",13106214930.4127
"zmb",2020092871.64751
"zwe",1046936669.27271
