"REG","QLAND"
"afg",7910
"alb",696.1
"are",82.8
"arg",37688.1
"arm",504.3
"aus",31397
"aut",1411.59
"aze",2174.7
"bel",852
"ben",3400
"bfa",6143
"bgd",8824.24
"bgr",3643.2
"bhr",4.6
"blr",5790.6
"bol",4661
"bra",62987
"bwa",261.6
"caf",1880
"can",38461
"che",423.2128
"chl",1770
"chn",135795.3
"civ",8000
"cmr",7750
"cod",14250
"cog",627
"col",3633.5
"com",118
"cri",558.5
"cyp",124.78
"cze",2536
"deu",12051
"dnk",2378.899
"dom",1232
"dza",8462.4
"ecu",2551
"egy",3789.8771
"esp",17187.89
"est",678
"eth",17121
"fin",2245.6
"fra",19502.1
"gab",495
"gbr",6060
"geo",477.7
"gha",5235.2
"gin",3800
"gnq",187.7
"grc",3282
"gtm",2045
"hkg",4.1
"hnd",1560
"hrv",919.2
"hun",4503
"idn",46300
"ind",169413
"irl",454
"irn",16477
"irq",5250
"isr",393.9
"ita",9048
"jam",215
"jor",314.3
"jpn",4496
"kaz",29733.1
"ken",6330
"kgz",1355.6
"khm",4082
"kor",1679
"kwt",13.4
"lao",1658
"lbn",265
"lka",2300
"ltu",2206.9
"lux",64.35
"lva",1236.5
"mar",9047
"mdg",3600
"mex",24743
"mli",6561
"mng",1333.11
"moz",5950
"mus",79
"mwi",3800
"mys",8284.97
"nam",809
"ner",16915
"nga",41500
"nic",1790
"nld",1080
"nor",810.163
"npl",2325.7
"nzl",545
"omn",83
"pak",31202
"pan",714
"per",5895.804
"phl",11027
"pol",11278
"pri",75.4
"prt",1822.19
"pry",4953
"pse",153.72
"qat",21
"rou",9203
"rus",123442
"rwa",1401.7
"sau",3637
"sdn",20296.08
"sen",3273
"slv",877.9
"srb",2791
"svk",1368
"svn",237.34
"swe",2578.52
"swz",190
"syr",5733
"tcd",5237
"tgo",2820
"tha",21710
"tjk",968.8
"tto",47
"tun",4917
"tur",23934
"tza",14460.5
"uga",9100
"ukr",33667
"ury",2467.6
"usa",159345.1
"uzb",4422
"ven",3300
"vnm",11505.8
"xac",5190
"xca",120
"xcb",4867.3
"xea",2580
"xec",5987.85
"xee",1971
"xef",122.48
"xer",1593.8
"xnf",2054
"xoc",1392.6
"xsa",112.6
"xsc",223
"xse",12633.5999
"xsm",549.9
"xsu",2000
"xwf",3855
"xws",1432.6
"zaf",12413
"zmb",3836
"zwe",4100
