"REG","POP"
"afg",35383.032
"alb",2886.438
"are",9360.98
"arg",43508.46
"arm",2936.143
"aus",24262.712
"aut",8747.301
"aze",9736.043
"bel",11354.42
"ben",10872.063
"bfa",18646.357
"bgd",157977.153
"bgr",7151.953
"bhr",1425.792
"blr",9445.643
"bol",11031.814
"bra",206163.053
"bwa",2159.927
"caf",4537.686
"can",36382.944
"che",8379.917
"chl",18209.068
"chn",1437667.551
"civ",23822.714
"cmr",23926.551
"cod",78789.127
"cog",4980.996
"col",48175.052
"com",795.592
"cri",4899.345
"cyp",1170.187
"cze",10618.857
"deu",82193.768
"dnk",5711.349
"dom",10397.741
"dza",40551.392
"ecu",16491.116
"egy",94447.073
"esp",46634.14
"est",1316.51
"eth",103603.462
"fin",5497.713
"fra",65537.339
"gab",2007.873
"gbr",66297.944
"geo",4015.45
"gha",28481.945
"gin",11738.429
"gnq",1215.18
"grc",10615.185
"gtm",16583.076
"hkg",7243.542
"hnd",9270.795
"hrv",4208.602
"hun",9752.975
"idn",261556.381
"ind",1324517.249
"irl",4695.779
"irn",79563.989
"irq",36610.632
"isr",8108.985
"ita",60663.06
"jam",2906.236
"jor",9554.286
"jpn",127763.265
"kaz",17830.901
"ken",49051.534
"kgz",6074.33
"khm",15766.292
"kor",50983.457
"kwt",3956.875
"lao",6845.846
"lbn",6714.281
"lka",21021.171
"ltu",2889.557
"lux",579.264
"lva",1974.266
"mar",35126.283
"mdg",24894.37
"mex",123333.376
"mli",17965.443
"mng",3056.364
"moz",27829.938
"mus",1261.865
"mwi",17205.261
"mys",30684.654
"nam",2358.044
"ner",20788.798
"nga",185960.241
"nic",6303.974
"nld",16981.295
"nor",5250.949
"npl",27263.433
"nzl",4659.265
"omn",4479.219
"pak",203631.353
"pan",4037.078
"per",30926.032
"phl",103663.816
"pol",37989.22
"pri",3283.125
"prt",10325.538
"pry",6777.872
"pse",4635.654
"qat",2654.374
"rou",19796.285
"rus",145275.383
"rwa",11668.827
"sau",32443.447
"sdn",39847.439
"sen",14993.519
"slv",6356.143
"srb",8853.963
"svk",5442.003
"svn",2074.21
"swe",9836.007
"swz",1113.997
"syr",17465.575
"tcd",14561.66
"tgo",7509.951
"tha",68971.308
"tjk",8663.579
"tto",1377.56
"tun",11303.945
"tur",79827.871
"tza",53049.23
"uga",39649.166
"ukr",44713.702
"ury",3424.129
"usa",323015.995
"uzb",31441.751
"ven",29851.255
"vnm",93640.422
"xac",28842.489
"xca",368.4
"xcb",22175.074
"xea",25920.501
"xec",39811.818
"xee",4066.009
"xef",369.864
"xer",6094.273
"xnf",7030.911
"xoc",10041.929
"xsa",736.708
"xsc",2075.03
"xse",54264.489
"xsm",1604.077
"xsu",5662.368
"xwf",20010.728
"xws",27168.208
"zaf",56207.646
"zmb",16363.458
"zwe",14030.331
