"REG","QCROP"
"afg",20307838.5720753
"alb",7208423.13377676
"are",3952073.99074817
"arg",236136904.261616
"arm",6194867.29705314
"aus",88502213.6402491
"aut",12286763.5993931
"aze",13739555.76355
"bel",16576788.7846771
"ben",19541846.8602068
"bfa",12698702.7045643
"bgd",179696552.664677
"bgr",19495146.5134269
"bhr",215611.331308373
"blr",25241890.9406206
"bol",18817873.0402409
"bra",597574650.338883
"bwa",478912.963989526
"caf",4408660.33384051
"can",165131814.374865
"che",4675418.60504752
"chl",43738019.8923815
"chn",3841391079.26512
"civ",62558547.5793705
"cmr",49066742.2700865
"cod",56814769.3024796
"cog",2757478.29024679
"col",72289006.0158087
"com",772456.712465262
"cri",17290308.9744177
"cyp",908639.885852706
"cze",16866515.2159151
"deu",104585817.961295
"dnk",14800327.0215951
"dom",16814102.1567887
"dza",55297139.1536861
"ecu",32179636.7979555
"egy",148205770.632474
"esp",190978099.268938
"est",1765905.50589982
"eth",72061855.7034914
"fin",5179080.58024213
"fra",154406520.911684
"gab",2104466.93047976
"gbr",49746298.9122205
"geo",3515791.36101774
"gha",70493919.1767879
"gin",18116036.6084216
"gnq",567399.195585162
"grc",44722846.3844054
"gtm",35610786.2177902
"hkg",120447.310966116
"hnd",14366303.0775975
"hrv",9424772.801318
"hun",33959274.7712022
"idn",576158079.234833
"ind",1455067028.08067
"irl",3893575.18934081
"irn",165354089.224271
"irq",14374889.7581815
"isr",10512538.3492737
"ita",157280382.180963
"jam",2477336.16859603
"jor",8562280.12268464
"jpn",75736957.3333383
"kaz",46499651.5701215
"ken",31806568.0562927
"kgz",9105369.58151074
"khm",36903077.1223598
"kor",50600151.5491498
"kwt",1633636.30558167
"lao",30532553.661311
"lbn",8691144.54593719
"lka",23970191.098833
"ltu",10079646.8777373
"lux",264781.484337582
"lva",5290048.75178038
"mar",45157456.7777823
"mdg",22953217.4854526
"mex",175357848.369863
"mli",29696326.7904189
"mng",1177126.48392619
"moz",14301999.1993549
"mus",882879.919280716
"mwi",32170376.8693227
"mys",144629105.406699
"nam",1471043.42824181
"ner",23748654.511093
"nga",352770774.383066
"nic",7876406.76551214
"nld",28460282.6702848
"nor",2407647.90328567
"npl",40409224.638799
"nzl",11051701.7090781
"omn",4116863.68108892
"pak",131264253.61406
"pan",3081020.73702411
"per",57231312.7207807
"phl",124052136.302088
"pol",83139087.6689834
"pri",574411.06707717
"prt",19712677.8161623
"pry",33210366.5196506
"pse",2730052.37711884
"qat",323347.457987602
"rou",51971152.8154791
"rus",259401159.937525
"rwa",13022269.0143386
"sau",15661984.7866627
"sdn",42368296.4630245
"sen",11076002.2083332
"slv",4547095.20150178
"srb",25609500.1295585
"svk",8137501.30654529
"svn",2057677.40002085
"swe",9394923.19637582
"swz",1481913.81004062
"syr",24684466.1348037
"tcd",12021742.8545302
"tgo",6909459.51985692
"tha",183748650.704759
"tjk",10408550.9949584
"tto",315766.640147865
"tun",23903057.7293858
"tur",237548376.67413
"tza",63856648.6680292
"uga",28591051.9057104
"ukr",175825265.346947
"ury",12492052.6085071
"usa",1104197012.35985
"uzb",65301480.3114707
"ven",17837291.3383228
"vnm",216674981.955302
"xac",28414058.1391572
"xca",928158.933748813
"xcb",26655404.7852916
"xea",26013306.9167608
"xec",18445543.5958673
"xee",11506890.1754602
"xef",34854.7771250366
"xer",12332476.7098845
"xnf",7103190.85710062
"xoc",21014931.2316822
"xsa",1011446.1197623
"xsc",315009.515579311
"xse",123335877.674791
"xsm",4195563.81005069
"xsu",6618443.04184977
"xwf",15670893.875721
"xws",6027731.42023132
"zaf",49389711.8667314
"zmb",8814215.31096123
"zwe",3651943.03097465
